ba,ba,ba,ba,ba,ba,countries,rb,rb,rb,rb,rb,rb
H-L,H-M,L-H,L-M,M-H,M-L,-,H-L,H-M,L-H,L-M,M-H,M-L
300,2499,234,2529,2560,2451,Total,234,2560,300,2451,2499,2529
0,2,0,3,0,2,Northern Ireland,0,0,0,2,2,3
1,2,1,14,9,12,Wales,1,9,1,12,2,14
0,2,2,36,19,15,Scotland,2,19,0,15,2,36
11,76,15,142,101,134,England,15,101,11,134,76,142
0,0,0,1,0,0,Singapore,0,0,0,0,0,1
1,0,0,1,1,1,China,0,1,1,1,0,1
0,0,0,0,0,1,Saint Lucia,0,0,0,1,0,0
1,0,3,1,10,3,Romania,3,10,1,3,0,1
0,1,0,2,0,1,South Korea,0,0,0,1,1,2
0,0,0,0,0,1,Georgia,0,0,0,1,0,0
0,0,0,1,0,1,Hong Kong,0,0,0,1,0,1
1,2,0,8,1,7,Mexico,0,1,1,7,2,8
0,0,0,1,0,1,Laos,0,0,0,1,0,1
0,0,0,0,0,0,Indonesia,0,0,0,0,0,0
0,0,0,3,0,2,Ukraine,0,0,0,2,0,3
16,93,14,157,142,298,Canada,14,142,16,298,93,157
0,6,0,4,0,1,Portugal,0,0,0,1,6,4
0,0,0,1,1,4,India,0,1,0,4,0,1
0,0,0,0,0,1,Puerto Rico,0,0,0,1,0,0
1,5,1,18,6,10,Japan,1,6,1,10,5,18
0,0,1,7,3,3,Hungary,1,3,0,3,0,7
0,0,0,3,2,0,Bulgaria,0,2,0,0,0,3
0,0,0,0,0,0,Togo,0,0,0,0,0,0
0,2,0,1,0,1,Croatia,0,0,0,1,2,1
0,0,0,3,1,3,Lithuania,0,1,0,3,0,3
0,0,0,0,1,2,Cyprus,0,1,0,2,0,0
1,11,10,103,27,27,Italy,10,27,1,27,11,103
0,0,0,0,0,0,Turks and Caicos Islands,0,0,0,0,0,0
0,0,0,0,0,1,Mongolia,0,0,0,1,0,0
2,16,6,21,17,20,Denmark,6,17,2,20,16,21
0,0,0,0,0,2,French Polynesia,0,0,0,2,0,0
0,1,0,3,1,3,Greece,0,1,0,3,1,3
11,52,6,126,51,116,Germany,6,51,11,116,52,126
0,0,0,0,0,0,Jersey,0,0,0,0,0,0
0,0,0,1,0,0,Mozambique,0,0,0,0,0,1
0,0,0,1,0,0,Eritrea,0,0,0,0,0,1
0,5,3,5,3,12,Switzerland,3,3,0,12,5,5
0,1,0,0,1,1,Malta,0,1,0,1,1,0
0,0,0,3,2,5,Israel,0,2,0,5,0,3
