H-L,H-M,L-H,L-M,M-H,M-L,styles
68,652,68,669,652,669,Total
1,2,0,12,3,10,English Pale Ale
0,1,0,6,2,7,English Bitter
0,13,5,1,13,2,Russian Imperial Stout
3,32,3,44,32,36,American Pale Ale (APA)
3,7,2,20,10,32,American Amber / Red Ale
8,100,2,18,81,28,American Double / Imperial IPA
0,2,0,2,0,2,English Stout
0,5,0,9,2,3,English India Pale Ale (IPA)
2,1,0,7,0,6,Irish Red Ale
0,3,0,1,3,12,Extra Special / Strong Bitter (ESB)
1,4,3,13,3,28,American Blonde Ale
0,1,0,6,0,3,Scottish Ale
1,2,0,4,8,4,English Porter
0,6,0,2,4,1,Old Ale
0,5,0,2,6,3,Scotch Ale / Wee Heavy
0,0,1,6,1,5,Euro Pale Lager
0,0,0,0,1,4,Kristalweizen
0,0,0,5,0,2,English Dark Mild Ale
7,105,5,64,88,64,American IPA
2,14,2,24,18,14,American Porter
0,1,0,1,0,0,Sahti
0,0,0,0,0,1,Scottish Gruit / Ancient Herbed Ale
1,6,2,16,2,12,Hefeweizen
0,4,1,4,3,5,Winter Warmer
0,15,4,9,20,1,American Black Ale
0,8,0,2,6,3,Gose
1,4,1,3,7,1,English Barleywine
4,27,1,14,36,8,American Wild Ale
2,10,1,17,14,10,American Stout
0,1,0,5,1,1,English Strong Ale
0,0,0,0,0,0,Low Alcohol Beer
2,8,1,4,3,7,Herbed / Spiced Beer
0,22,3,5,36,6,American Double / Imperial Stout
1,6,1,21,4,14,German Pilsener
1,2,1,1,0,4,Vienna Lager
1,33,1,26,30,20,Saison / Farmhouse Ale
1,1,0,8,3,10,Kölsch
0,2,0,4,3,5,Foreign / Export Stout
1,5,0,8,3,8,Czech Pilsener
1,8,1,5,12,6,Berliner Weissbier
0,4,0,3,6,2,Smoked Beer
2,8,0,25,14,30,Fruit / Vegetable Beer
0,1,0,3,2,3,Chile Beer
0,1,0,3,0,4,Altbier
2,6,3,2,7,2,American Barleywine
0,5,2,5,1,6,Rye Beer
0,0,0,1,0,3,Euro Dark Lager
0,0,0,4,0,6,American Adjunct Lager
0,6,0,4,6,2,Baltic Porter
1,2,0,4,2,2,Schwarzbier
0,9,1,7,5,4,Belgian IPA
0,4,2,19,1,18,American Pale Wheat Ale
0,1,0,0,1,6,Dunkelweizen
0,2,0,3,1,7,English Brown Ale
1,6,1,7,2,11,Märzen / Oktoberfest
1,5,0,2,4,0,Weizenbock
0,5,0,9,2,3,Pumpkin Ale
0,0,0,0,1,1,English Pale Mild Ale
1,0,0,5,1,8,Bock
0,6,0,6,10,5,American Strong Ale
0,4,0,2,2,2,Maibock / Helles Bock
2,3,1,3,4,4,Dubbel
1,5,1,10,4,3,Oatmeal Stout
0,0,0,1,0,1,American Malt Liquor
0,0,1,2,0,6,Light Lager
1,8,2,16,13,18,Witbier
2,7,1,6,6,8,Tripel
0,4,0,12,14,8,Belgian Strong Dark Ale
2,6,0,1,3,0,Doppelbock
1,8,2,21,5,13,Belgian Pale Ale
0,0,0,6,1,3,Cream Ale
0,0,0,3,3,5,Belgian Dark Ale
0,0,0,0,1,0,Black & Tan
0,1,0,6,3,5,Munich Dunkel Lager
0,4,1,11,1,16,American Pale Lager
0,4,1,0,7,2,Quadrupel (Quad)
0,0,0,0,1,1,Euro Strong Lager
0,1,0,2,2,1,Rauchbier
0,0,0,1,0,2,Dortmunder / Export Lager
0,1,0,0,2,0,Eisbock
0,12,1,14,8,9,American Brown Ale
0,11,0,4,11,2,Milk / Sweet Stout
0,1,0,1,4,4,Irish Dry Stout
2,2,1,4,0,8,American Amber / Red Lager
1,1,1,3,1,4,Kellerbier / Zwickelbier
2,4,0,5,2,6,Bière de Garde
0,2,2,6,1,7,Munich Helles Lager
0,0,0,0,0,1,Happoshu
0,12,1,8,2,7,Belgian Strong Pale Ale
0,0,1,1,3,0,Flanders Oud Bruin
0,1,0,1,3,2,American Double / Imperial Pilsner
0,1,0,4,0,2,California Common / Steam Beer
0,0,0,0,1,1,Roggenbier
1,3,0,0,3,3,Flanders Red Ale
0,0,0,0,3,0,Braggot
0,1,0,0,1,1,American Dark Wheat Ale
0,1,1,2,6,2,Lambic - Fruit
0,0,0,1,1,0,Wheatwine
0,2,0,0,0,0,Bière de Champagne / Bière Brut
0,1,0,0,1,0,Kvass
0,1,0,0,2,0,Gueuze
0,3,0,0,2,0,Lambic - Unblended
1,0,0,1,1,1,Faro
